"Source:","/home/jseng/ue4/herbie2/herbie2_pcb/herbie2.sch"
"Date:","Mon 14 Dec 2020 07:40:39 AM PST"
"Tool:","Eeschema 5.1.8-db9833491~88~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","97"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","Field4","MPN","Manufacturer","Status"
"26","2","J17, J20","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","",""
"27","1","LCD1","LCD-16X2SILK","SparkFun-Displays:LCD-16X2SILK","Displays:LCD-16X2","","","","","","","","LCD-00255","","",""
"28","2","Q1, Q2","LTC4412","herbie2-rescue:LTC4412ES6_TRMPBF-dk_PMIC-OR-Controllers-Ideal-Diodes","digikey-footprints:SOT-23-6","http://www.linear.com/docs/1527","Integrated Circuits (ICs)","http://www.linear.com/docs/1527","/product-detail/en/linear-technology-analog-devices/LTC4412ES6-TRMPBF/LTC4412ES6-TRMPBFCT-ND/890097","IC OR CTRLR SRC SELECT TSOT23-6","LTC4412ES6#TRMPBFCT-ND","PMIC - OR Controllers, Ideal Diodes","","LTC4412ES6#TRMPBF","Linear Technology/Analog Devices","Active"
"29","2","Q3, Q4","Si4427","js:Si4427","js:SO-8_3.9x4.9mm_P1.27mm_Si4427","","","","","","","","","Si4427","",""
"30","1","Q5","2N7002","dk_Transistors-FETs-MOSFETs-Single:2N7002","digikey-footprints:SOT-23-3","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","Discrete Semiconductor Products","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","/product-detail/en/on-semiconductor/2N7002/2N7002NCT-ND/244664","MOSFET N-CH 60V 115MA SOT-23","2N7002NCT-ND","Transistors - FETs, MOSFETs - Single","","2N7002","ON Semiconductor","Active"
"31","2","R1, R2","470K","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"32","4","R3, R4, R5, R6","330","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"33","2","R7, R8","R","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"34","4","R9, R10, R11, R12","100","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"35","1","R13","10","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
